=== TABLES ===
global_sync_proc_log_삭제예정	싱크처리로그
global_sync_pub_log	발행로그
global_sync_sub_log	구독로그
migrations	
old_call_result	통화 백업 테이블
old_coin	코인백업테이블
old_order	결제 백업테이블
stage_old_order	
stage_tb_order	
tb_a8fly_advertisement	a8 광고 식별자 보존용
tb_account	계정정보
tb_account_chk	계정정보
tb_account_history	회원계정 히스토리 테이블
tb_adjust	
tb_admin	관리자 정보
tb_admin_menu	
tb_admin_menu_old	
tb_admin_msg	관리자 메모
tb_admin_offday	
tb_agora_test	
tb_alarm	알림 리스트
tb_alarm_read	알림 읽음 내용
tb_alimtalk_log	alimtalk 발송 로그 테이블
tb_apple_server_alert	
tb_apppush	앱 push 목록
tb_apppush_member	push 보낼 멤버
tb_autopay	자동충전
tb_autopay_history	자동충전 히스토리 테이블
tb_banned_words	금지단어
tb_banner	배너테이블
tb_banner_group	배너그룹 관리
tb_banner_theme	배너테이블
tb_banner_theme_callee	테마 배너 상담사정보
tb_board	게시판 테이블
tb_board_comment	게시판 댓글 테이블
tb_board_content	게시판 내용 테이블
tb_board_like	게시판 테이블
tb_calendar	달력테이블
tb_call_grade_summary	승급강등을 위한 통화집계 테이블
tb_call_hangup	강제 통화 종료 처리
tb_call_result	통화 테이블
tb_callee	상담사 정보
tb_callee_grade	상담사 승급강등 테이블
tb_callee_introduction_point	상담사 소개 포인트/상품권 테이블
tb_callee_level	
tb_callee_like	
tb_callee_memo	
tb_callee_qna	상담사 문의
tb_callee_status	상담사 통화대기시간
tb_callee_t_app	
tb_card_noti	카드결제 노티 테이블
tb_cast	섭외 테이블
tb_chat_entrance	상담사 채팅방 입장시간
tb_chat_item_price_history	상담사 수수료 테이블
tb_chat_item_price_log	아이템 가격
tb_chat_item_stat_all	월단위 상품 간략정보
tb_chat_items	아이템 테이블
tb_chat_notify	채팅 신고
tb_chat_rooms	채팅방
tb_chat_time_add	채팅상담 시간 연장 요청
tb_coin	코인테이블
tb_coin_info	유료 무료 코인 관리 테이블
tb_comment	후기테이블
tb_comment_help	
tb_comment_notify	후기 신고
tb_coupon	쿠폰테이블
tb_coupon_list	쿠폰 발급 테이블
tb_cp_info	협력사정보
tb_cp_menu	협력사 메뉴 정보 테이블
tb_daily_status	가입자 /후기 일별 현황
tb_event	이벤트 테이블
tb_event_attend	출석이벤트 참여자 테이블
tb_event_attend_opt	출석 이벤트 생성 테이블
tb_event_charge	2022년 설날 이벤트 (참여자 확인)
tb_event_coinback	이벤트 코인백 설정 테이블
tb_event_coinback_participants	코인백 이벤트 참여자 목록
tb_event_keyword	키워드 이벤트 테이블
tb_event_payback	페이백 이벤트 테이블
tb_event_payback_callee	
tb_event_payback_opt	
tb_event_roulette	룰렛 이벤트 참여자 테이블
tb_event_roulette_opt	
tb_event_roulette_target	
tb_event_specialprice	100원특가 이벤트 테이블
tb_event_specialprice_callee	100원특가 상담사
tb_event_specialprice_opt	100원 특가 이벤트
tb_faq	FAQ 테이블
tb_faq_callee_answer	
tb_faq_callee_answer_regist	
tb_faq_callee_question	
tb_faq_group	FAQ 메뉴 테이블
tb_fast_menu	빠른메뉴 테이블
tb_goods_category	
tb_goods_category_first	카테고리 1차, 2차 정렬
tb_goods_item_price_log	상품 가격 변동 로그
tb_goods_item_stat	상품 아이템 통계 테이블
tb_goods_items	상품 테이블
tb_goods_items_regist	상품 정보 수정 테이블
tb_goods_items_regist_temp	상품 정보 수정 미리보기  테이블
tb_goods_opt	상품 옵션 테이블
tb_goods_order	상품 결제 테이블
tb_goods_sell	상품 판매정보 테이블
tb_grouplist_callee	
tb_grouplist_opt	
tb_insta	인스타그램 테이블
tb_interphone_auth	해외 핸드폰 인증 테이블
tb_item_notice	아이템 공지 테이블
tb_item_price	아이템 가격 정보 테이블
tb_item_price_history	상담사 수수료 테이블
tb_item_price_log	아이템 가격
tb_item_regist	
tb_item_stat	아이템 통계 테이블
tb_item_stat_all	월단위 상품 간략정보
tb_items	아이템 테이블
tb_items_level_price	2021년 3월1일 상담사별로 새로 지정되는 단계 및 코인금액설정 
tb_like_item	단골 상담사 테이블
tb_mail_cert	
tb_mail_templete	메일 템플릿 테이블
tb_media	파일,이미지 관리
tb_monthly_user_status	가입자 / 후기 /이용중인아이템 월별 현황
tb_notice	공지사항 테이블
tb_offline	오프라인 행사 리스트 테이블
tb_offline_register	오프라인 행사 등록 테이블
tb_one_tarot	1분 타로 테이블
tb_onetarot_comment	1분타로 댓글 테이블
tb_onetarot_like	1분타로 좋아요 테이블
tb_order	결제테이블
tb_pay_log	결제 로그
tb_pay_reward_history	리워드 히스토리
tb_pay_reward_rait	VIP리워드 지급 비율 테이블
tb_pay_stat	결제 로그
tb_pg	PG 정보 테이블
tb_popup	
tb_posting	
tb_product	상품테이블
tb_qna	1:1문의 테이블
tb_qna_group	1:1문의 설정
tb_recent_visit_items	최근 방문한 아이템 테이블
